Fixed missing image: The Perfect Friend, The Perfect Poison -> /images/August31DigitalSiren.jpeg
======================================================================
STEP CLASSIFICATION RESULTS
======================================================================
[    August]       Economic + ['Political', 'Social']                  | Economic:45 | Political:41 | Social:37 | Technological:0 | Curing the Wrong Disease
[   January]      Political + ['Economic']                             | Political:98 | Economic:44 | Social:24 | Technological:3 | Herald of the Patchwork Era
[  December]      Political + ['Technological']                        | Political:70 | Technological:47 | Social:2 | Economic:0 | Polemics: The Etiquette of the Watchful Peace
[   January]         Social + ['Technological']                        | Social:99 | Technological:29 | Political:7 | Economic:0 | The Academic History of the Great Divergence
[    August]         Social + ['Economic', 'Political']                | Social:56 | Economic:25 | Political:24 | Technological:7 | The Accidental Blueprint
[ September]      Political + ['Social', 'Economic']                   | Political:43 | Social:27 | Economic:17 | Technological:8 | The Accidental Seed
[  December]      Political + ['Technological']                        | Political:91 | Technological:54 | Economic:21 | Social:4 | The Accidental Sovereigns
[      July]  Technological + ['Economic']                             | Technological:72 | Economic:39 | Political:9 | Social:2 | The Accountant's Guide to God
[   October]      Political + ['Technological']                        | Political:48 | Technological:26 | Economic:14 | Social:8 | The Alchemists
[  December]         Social + ['Technological', 'Political']           | Social:69 | Technological:23 | Political:23 | Economic:8 | The Algorithm of the Grave
[   January]         Social + ['Political']                            | Social:51 | Political:51 | Technological:11 | Economic:0 | The Algorithm of the Tower of Babel
[ September]      Political + ['Technological']                        | Political:58 | Technological:35 | Social:4 | Economic:0 | The All-Seeing Eye
[   January]      Political + ['Economic']                             | Political:89 | Economic:72 | Social:8 | Technological:5 | The Almanac of the End
[  February]      Political + ['Social', 'Economic']                   | Political:39 | Social:31 | Economic:24 | Technological:8 | The Arbitrage of Compassion
[  February]      Political + ['Social']                               | Political:95 | Social:30 | Technological:18 | Economic:10 | The Archeofuturist Prophecy
[     March]      Political + ['Technological', 'Social', 'Economic']  | Political:59 | Technological:35 | Social:34 | Economic:18 | The Architect of the Cage
[  December]      Political + ['Economic']                             | Political:60 | Economic:56 | Technological:8 | Social:6 | The Architect of the Fortress
[  February]         Social + ['Political', 'Economic']                | Social:36 | Political:35 | Economic:30 | Technological:4 | The Architecture of Inheritance
