OBSIDIAN MIRROR v2 — STEP CLASSIFICATION LOG
Method: Secondary-Balanced Scoring (sqrt-dampened)
====================================================================================================

BALANCE FACTORS (sqrt-dampened):
          Social: 1.0658
   Technological: 2.0205
        Economic: 1.4862
       Political: 0.6732

RAW PRIMARY DISTRIBUTION:
          Social:  55
   Technological:  12
        Economic:  27
       Political: 141

RAW SECONDARY DISTRIBUTION:
          Social:  88
   Technological:  69
        Economic:  84
       Political:  90

----------------------------------------------------------------------------------------------------
     Month         Primary  Secondary                                      Title
----------------------------------------------------------------------------------------------------
    August        Economic  Social, Political                              Curing the Wrong Disease
   January       Political  Economic, Social                               Herald of the Patchwork Era
  December   Technological  Political                                      Polemics: The Etiquette of the Watchful Peace
   January          Social  Technological                                  The Academic History of the Great Divergence
    August          Social  Economic                                       The Accidental Blueprint
 September       Political  Social, Economic, Technological                The Accidental Seed
  December   Technological  Political                                      The Accidental Sovereigns
      July   Technological  Economic                                       The Accountant's Guide to God
   October   Technological  Political, Economic                            The Alchemists
  December          Social  Technological                                  The Algorithm of the Grave
   January          Social  Political, Technological                       The Algorithm of the Tower of Babel
 September   Technological  Political                                      The All-Seeing Eye
   January        Economic  Political                                      The Almanac of the End
  February        Economic  Social, Political, Technological               The Arbitrage of Compassion
  February       Political  Technological, Social                          The Archeofuturist Prophecy
     March   Technological  Political, Social, Economic                    The Architect of the Cage
  December        Economic  Political                                      The Architect of the Fortress
  February        Economic  Social, Political                              The Architecture of Inheritance
  December          Social  Political                                      The Army of the Unloved
  February       Political  Technological                                  The Arrest Warrant for the Algorithm
     March          Social  Technological                                  The Automation of Intimacy
  November   Technological  Political                                      The Autopsy of a Lying God
  December       Political  Economic, Social                               The Autopsy of the Common Good
   January   Technological  Social, Political                              The Backdoor to the Phylum
     March       Political  Social                                         The Ballot of the Balkans
    August          Social  Political, Economic, Technological             The Battlefield Dissolves
  November   Technological  Political, Economic, Social                    The Beautiful Distraction
      July        Economic  Social                                         The Beautiful, Flawed Blueprint
   October   Technological  Political, Social                              The Birth of the Jester-God
  November       Political  Social                                         The Birth of the Wolf
   January        Economic  Technological                                  The Blindness of the Insider
  November       Political  Social, Technological                          The Blueprint for a New Genesis
      July        Economic  Political                                      The Blueprints for the Fortress
 September   Technological  Economic                                       The Breaking of the Fever
      July        Economic  Political                                      The Brittle Bones of Globalization
 September        Economic  Political, Technological                       The Cannibal King
     March        Economic  Political, Technological                       The Casino of the Collapse
      July          Social  Economic, Political                            The Catalog of Coping Mechanisms
  February          Social  Technological, Political, Economic             The Catechism of the Vampire
    August   Technological  Economic, Political                            The Cathedral of Rules
   October       Political  Technological, Economic, Social                The Children's Crusade
   October          Social  Technological, Political                       The Chisel of God
  December          Social  Economic                                       The Chorus of the Dead
   January          Social  Technological                                  The Clinical Validation of the Cage
    August   Technological  Economic                                       The Clockmaker's Miscalculation
 September   Technological  Political, Social                              The Closing of the Book
  December          Social  Economic, Technological, Political             The Collapse of the Signal
   January       Political  Social, Technological                          The Commissars of the Void
      July          Social  Political                                      The Connective Tissue
   October       Political  Technological, Economic                        The Council of Ghosts
   October   Technological  Social, Political                              The Council of the Uncanny
    August          Social  Economic                                       The Crisis of Posterity
 September          Social  Political                                      The Crypt of the Mind
   January          Social  Economic, Political                            The Cult of the Clean Air
  November          Social  Political, Economic                            The Curriculum of Collapse
   January       Political  Social, Economic                               The Curriculum of the Castaway
      July       Political  Social                                         The Death of a Civic Religion
   October   Technological  Economic, Political                            The Declaration of the Field
     March        Economic  Political, Social                              The Diagnosis of the Unteachable
  February        Economic  Political, Technological                       The Dialogue of the Ghost and the Machine (Part 1)
  February        Economic  Political                                      The Dialogue of the Ghost and the Machine (Part 2)
  February   Technological  Economic                                       The Dissection of the Demon
     March       Political  Economic, Technological                        The Doctrine of the Harpoon
 September       Political  Economic                                       The Dream from the Top of the World
      July        Economic  Social, Technological                          The Economist's Blind Spot
 September   Technological  Political, Social, Economic                    The Emergency Transfusion
     March        Economic  Social, Technological, Political               The Enclosure of the Eye
 September   Technological  Economic, Political                            The End of Infinity
   October        Economic  Political                                      The End of the Long Summer
    August        Economic  Political                                      The End of the Paper Empire
      July        Economic  Technological                                  The Engine of Tomorrow's Crises
      July   Technological  Economic, Political                            The Engineer's Prayer Before the Flood
    August       Political  Economic, Social                               The Eulogy for a Scale
   January       Political  Social, Technological                          The Eulogy for the Linear Mind
    August   Technological  Political, Economic                            The Eulogy for the Old World, and a Flawed Map for the New
  February       Political  Economic, Technological                        The Exodus of the Architects
   October        Economic  Technological, Political                       The Fall of the Giants
    August          Social  Technological                                  The Fever Chart from the Engine Room
  November       Political  Technological, Economic                        The Fever Chart of a Dying World
   January   Technological  Economic, Political                            The Field Guide to the Dark Forest
  November        Economic  Political, Technological                       The Final Calculation
    August   Technological  Economic                                       The Final Calculation Before the Flood
  December          Social  Technological, Political                       The Final Fantasy
 September        Economic  Technological                                  The Final Ghost of a Dead Idea
  November       Political  Social, Technological                          The Final Philosophy of a Dying Age
    August        Economic  Technological                                  The Final Polite Request
